t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad
9.14138500,0.24034020,-0.14765280,1.40903628,-0.01410724,1.57080007,0.24036588
9.18276500,0.23896836,-0.14781785,1.40884197,-0.01413658,1.57080007,0.23897570
9.22416400,0.23739110,-0.14799759,1.40861070,-0.01416592,1.57080007,0.23742044
9.26609200,0.23598625,-0.14816633,1.40839815,-0.01419894,1.57080007,0.23604859
9.30722300,0.23459606,-0.14832772,1.40819633,-0.01422828,1.57080007,0.23463641
9.34870200,0.23304817,-0.14852212,1.40796888,-0.01426863,1.57080007,0.23305182
9.39002200,0.23164698,-0.14868718,1.40776718,-0.01430531,1.57080007,0.23167264
9.43138200,0.23023111,-0.14885224,1.40756905,-0.01433832,1.57080007,0.23027147
9.47281600,0.22883360,-0.14902464,1.40737104,-0.01437500,1.57080007,0.22885194
9.51456200,0.22727835,-0.14922273,1.40713990,-0.01441535,1.57080007,0.22727469
9.55614700,0.22588818,-0.14940979,1.40692723,-0.01444836,1.57080007,0.22587717
9.59766100,0.22447965,-0.14960419,1.40670717,-0.01448504,1.57080007,0.22449064
9.63918900,0.22291707,-0.14981326,1.40644288,-0.01452539,1.57080007,0.22290973
9.68114200,0.22153056,-0.15001868,1.40621185,-0.01456574,1.57080007,0.22151954
9.72275800,0.22014403,-0.15020941,1.40597713,-0.01460242,1.57080007,0.22014037
9.76543300,0.21856678,-0.15042950,1.40570199,-0.01464277,1.57080007,0.21858145
9.80670600,0.21715827,-0.15063490,1.40547836,-0.01468312,1.57080007,0.21718393
9.84815200,0.21576808,-0.15082932,1.40524364,-0.01471613,1.57080007,0.21578276
9.88997300,0.21420550,-0.15105307,1.40499043,-0.01476381,1.57080007,0.21420917
9.93176000,0.21280432,-0.15124747,1.40476680,-0.01480049,1.57080007,0.21282266
9.97328900,0.21138847,-0.15145287,1.40452468,-0.01484451,1.57080007,0.21143614
10.01474400,0.20982221,-0.15168764,1.40424228,-0.01489219,1.57080007,0.20986623
10.05622300,0.20844302,-0.15190405,1.40397072,-0.01493621,1.57080007,0.20845404
10.09775800,0.20704551,-0.15211681,1.40369558,-0.01497656,1.57080007,0.20707120
10.13930600,0.20546094,-0.15236254,1.40337658,-0.01502424,1.57080007,0.20551594
10.18048300,0.20405607,-0.15259364,1.40308309,-0.01506826,1.57080007,0.20410742
10.22240100,0.20267689,-0.15282105,1.40280426,-0.01511228,1.57080007,0.20268056
10.26381600,0.20110698,-0.15308516,1.40250719,-0.01515996,1.57080007,0.20111430
10.30532000,0.19968745,-0.15331623,1.40225041,-0.01520764,1.57080007,0.19973145
10.34682500,0.19827525,-0.15354365,1.40199006,-0.01525166,1.57080007,0.19830459
10.38869700,0.19689608,-0.15377107,1.40172219,-0.01529934,1.57080007,0.19689976
10.43022900,0.19533350,-0.15403150,1.40141785,-0.01535437,1.57080007,0.19532615
10.47171100,0.19392498,-0.15426259,1.40113163,-0.01540205,1.57080007,0.19393964
10.51327000,0.19251645,-0.15449367,1.40082729,-0.01544973,1.57080007,0.19251645
10.55530300,0.19095388,-0.15477243,1.40050077,-0.01550475,1.57080007,0.19093186
10.59713500,0.18956369,-0.15502188,1.40021837,-0.01555244,1.57080007,0.18955269
10.63865000,0.18815884,-0.15527129,1.39993584,-0.01560012,1.57080007,0.18816984
10.68022000,0.18657424,-0.15555741,1.39962041,-0.01565881,1.57080007,0.18660359
10.72203100,0.18517673,-0.15580316,1.39930868,-0.01571016,1.57080007,0.18519874
10.76354200,0.18379389,-0.15605624,1.39901888,-0.01576518,1.57080007,0.18379755
10.80477700,0.18222030,-0.15633503,1.39865947,-0.01582387,1.57080007,0.18223864
10.84634800,0.18080078,-0.15658811,1.39833295,-0.01587523,1.57080007,0.18085213
10.88800100,0.17939958,-0.15685222,1.39801013,-0.01593024,1.57080007,0.17943993
10.93100300,0.17783333,-0.15714933,1.39762509,-0.01598527,1.57080007,0.17784801
10.97253800,0.17645049,-0.15741709,1.39729500,-0.01604029,1.57080007,0.17645782
11.01713800,0.17486222,-0.15773255,1.39693189,-0.01610264,1.57080007,0.17489891
11.05854500,0.17345004,-0.15800765,1.39660537,-0.01615766,1.57080007,0.17351606
11.10001400,0.17189114,-0.15832676,1.39623487,-0.01622369,1.57080007,0.17192048
11.14147200,0.17050095,-0.15860553,1.39589000,-0.01627871,1.57080007,0.17051561
11.18297500,0.16909242,-0.15887697,1.39553428,-0.01633740,1.57080007,0.16912544
11.22419000,0.16748950,-0.15919241,1.39516747,-0.01639975,1.57080007,0.16753718
11.26596200,0.16610299,-0.15947118,1.39485562,-0.01645844,1.57080007,0.16611765
11.30741600,0.16471647,-0.15975729,1.39454019,-0.01652080,1.57080007,0.16470546
11.34888900,0.16314289,-0.16009475,1.39417708,-0.01659049,1.57080007,0.16314654
11.39043700,0.16172336,-0.16038820,1.39383590,-0.01664551,1.57080007,0.16173436
11.43240000,0.16033685,-0.16069265,1.39347279,-0.01670787,1.57080007,0.16032216
11.47392300,0.15877794,-0.16102643,1.39304364,-0.01678123,1.57080007,0.15875959
11.51540700,0.15737674,-0.16131255,1.39264393,-0.01684359,1.57080007,0.15738040
11.55690800,0.15596455,-0.16159865,1.39225864,-0.01690594,1.57080007,0.15599023
11.59838500,0.15456337,-0.16189577,1.39191389,-0.01696830,1.57080007,0.15459271
11.63978700,0.15300079,-0.16223322,1.39151049,-0.01704166,1.57080007,0.15301178
11.68124400,0.15160328,-0.16254133,1.39112902,-0.01710401,1.57080007,0.15161794
11.72271500,0.15019108,-0.16285677,1.39072549,-0.01717371,1.57080007,0.15022776
11.76465000,0.14860648,-0.16321991,1.39027059,-0.01724340,1.57080007,0.14866517
11.80588100,0.14721997,-0.16355003,1.38987815,-0.01730943,1.57080007,0.14725299
11.84732600,0.14583713,-0.16387649,1.38952243,-0.01738279,1.57080007,0.14584446
11.88874200,0.14425254,-0.16422862,1.38912630,-0.01745981,1.57080007,0.14428556
11.93006200,0.14284034,-0.16454040,1.38876319,-0.01752584,1.57080007,0.14288437
11.97184300,0.14144284,-0.16486685,1.38837433,-0.01758819,1.57080007,0.14147952
12.01330700,0.14006364,-0.16520798,1.38797081,-0.01765789,1.57080007,0.14006732
12.05438000,0.13848640,-0.16558947,1.38749397,-0.01773858,1.57080007,0.13849740
12.09557500,0.13707054,-0.16593792,1.38706481,-0.01781194,1.57080007,0.13710722
12.13696600,0.13566568,-0.16626804,1.38665760,-0.01788164,1.57080007,0.13569869
12.17845100,0.13428284,-0.16659449,1.38626528,-0.01795133,1.57080007,0.13428284
12.21990800,0.13271293,-0.16697231,1.38580668,-0.01803936,1.57080007,0.13270925
12.26107400,0.13130440,-0.16729876,1.38537383,-0.01811272,1.57080007,0.13132641
12.30230100,0.12990688,-0.16763622,1.38492274,-0.01818241,1.57080007,0.12990321
12.34370700,0.12834063,-0.16802503,1.38444591,-0.01826311,1.57080007,0.12831129
12.38520300,0.12694678,-0.16838083,1.38402402,-0.01834014,1.57080007,0.12693945
12.42666600,0.12554926,-0.16874762,1.38361323,-0.01841717,1.57080007,0.12556027
12.46789900,0.12412974,-0.16910343,1.38319874,-0.01849420,1.57080007,0.12417375
12.50951400,0.12257817,-0.16949956,1.38271451,-0.01858590,1.57080007,0.12259284
12.55097200,0.12119165,-0.16985171,1.38227081,-0.01865559,1.57080007,0.12119532
12.59244700,0.11979413,-0.17021118,1.38181591,-0.01873629,1.57080007,0.11980880
12.63397600,0.11820220,-0.17063299,1.38133168,-0.01882432,1.57080007,0.11824989
12.67566300,0.11680468,-0.17101447,1.38089883,-0.01891235,1.57080007,0.11684503
12.71725500,0.11542550,-0.17138861,1.38042927,-0.01899305,1.57080007,0.11543651
12.75871300,0.11386660,-0.17179576,1.37990117,-0.01908108,1.57080007,0.11387760
12.80002700,0.11245073,-0.17216256,1.37945724,-0.01916178,1.57080007,0.11248741
12.84178700,0.11104955,-0.17253670,1.37902081,-0.01924981,1.57080007,0.11110824
12.88335400,0.10967404,-0.17290719,1.37857330,-0.01933417,1.57080007,0.10970338
12.92500000,0.10811146,-0.17333633,1.37803042,-0.01943321,1.57080007,0.10812980
12.96691100,0.10669927,-0.17373247,1.37753522,-0.01951758,1.57080007,0.10673595
