condition,frame,host_read_start_s,camera_timestamp_s,host_receive_timestamp_s,state_host_timestamp_s,frame_valid,error_message,raw_points,cropped_points,downsampled_points,scene_points_after_self_filter,robot_surface_points,q_actual_1,q_actual_2,q_actual_3,q_actual_4,q_actual_5,q_actual_6,preprocess_ms,state_fk_ms,self_filter_ms,end_to_end_ms,risk_state,hold
start,72,1785915492.608869,1785915492.570622,1785915492.627427,1785915492.687541,1,,862487,36833,3330,2490,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,27.7198,1.2097,11.7366,90.9289,SAFE,0
start,73,1785915492.699889,1785915492.637352,1785915492.719500,1785915492.784595,1,,866167,36825,3413,2522,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,31.3382,0.8814,11.8318,97.0544,SAFE,0
start,74,1785915492.797004,1785915492.737448,1785915492.816886,1785915492.878183,1,,862643,36814,3392,2563,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,27.7372,1.1337,11.3760,93.0718,SAFE,0
start,75,1785915492.890136,1785915492.837546,1785915492.908671,1785915492.967718,1,,864794,37106,3392,2526,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,26.4635,1.1449,11.0768,89.1283,SAFE,0
start,76,1785915492.979326,1785915492.937645,1785915492.997465,1785915493.054202,1,,867547,36983,3437,2612,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,26.3289,1.1199,10.4591,85.8139,SAFE,0
start,77,1785915493.065202,1785915493.004313,1785915493.083173,1785915493.140984,1,,863137,36884,3429,2565,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,26.5025,0.8258,11.0137,87.2575,SAFE,0
start,78,1785915493.152522,1785915493.104311,1785915493.170528,1785915493.227250,1,,862405,36830,3392,2561,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,27.0393,0.8383,10.8559,86.0575,SAFE,0
start,79,1785915493.238640,1785915493.204308,1785915493.256635,1785915493.315350,1,,863551,37410,3426,2567,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,26.9650,0.8312,10.8739,88.0532,SAFE,0
start,80,1785915493.326766,1785915493.270972,1785915493.344928,1785915493.402213,1,,864722,36859,3420,2543,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,26.9204,1.1344,11.1552,87.0696,SAFE,0
start,81,1785915493.413897,1785915493.370965,1785915493.431913,1785915493.491798,1,,863904,36920,3401,2532,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,26.8397,1.0804,11.0745,89.4359,SAFE,0
